int_1,int_2,int_3,int_4,int_5,int_6,int_7,int_8,int_9,int_10,int_11,int_12,int_13,int_14,int_15,int_16,label
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0.000655308,0.999345,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0.000657462,0.999343,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0.00131752,0.998682,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0.00132188,0.998678,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0.00131839,0.998682,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0.00131926,0.998681,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0.00132013,0.99868,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0.00131752,0.998682,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0.000655738,0.999344,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0.000658762,0.999341,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0.000657895,0.999342,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0.000656599,0.999343,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0.000658328,0.999342,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0.00131666,0.998683,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0.001321,0.998679,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0.00131839,0.998682,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0.001321,0.998679,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0.000661376,0.999339,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0.0013245,0.998675,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0.00198675,0.998013,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0.00132275,0.998677,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0.000662691,0.999337,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0.00066357,0.999336,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0.000664011,0.999336,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0.00132802,0.998672,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0.000665779,0.999334,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0.0013289,0.998671,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0.00133067,0.998669,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0.00133067,0.998669,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0.00133511,0.998665,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0.00133422,0.998666,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0.000665779,0.999334,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0.00133245,0.998668,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0.000666667,0.999333,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0.000667111,0.999333,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0.00133779,0.998662,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0.00133511,0.998665,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0.00200938,0.997991,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0.00336022,0.99664,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0.0026936,0.997306,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0.000672043,0.999328,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
